,Drug_1,Drug_2,Correlation
0,17-AAG (Tanespimycin),A-674563,-662.0
1,17-AAG (Tanespimycin),ABT-737,-1310.0
2,17-AAG (Tanespimycin),Afatinib (BIBW-2992),-706.0
3,17-AAG (Tanespimycin),Alisertib (MLN8237),-1243.0
4,17-AAG (Tanespimycin),AT7519,-1408.0
5,17-AAG (Tanespimycin),Axitinib (AG-013736),-2228.0
6,17-AAG (Tanespimycin),AZD1480,-882.0
7,17-AAG (Tanespimycin),Barasertib (AZD1152-HQPA),-974.0
8,17-AAG (Tanespimycin),Bay 11-7085,-529.0
9,17-AAG (Tanespimycin),BEZ235,-844.0
10,17-AAG (Tanespimycin),BI-2536,-683.0
11,17-AAG (Tanespimycin),BMS-345541,-644.0
12,17-AAG (Tanespimycin),Bortezomib (Velcade),-937.0
13,17-AAG (Tanespimycin),Bosutinib (SKI-606),-617.0
14,17-AAG (Tanespimycin),Cabozantinib,-1044.0
15,17-AAG (Tanespimycin),Canertinib (CI-1033),-771.0
16,17-AAG (Tanespimycin),Cediranib (AZD2171),-1745.0
17,17-AAG (Tanespimycin),CHIR-99021,-720.0
18,17-AAG (Tanespimycin),CI-1040 (PD184352),-1743.0
19,17-AAG (Tanespimycin),Crenolanib,-823.0
20,17-AAG (Tanespimycin),Crizotinib (PF-2341066),-1676.0
21,17-AAG (Tanespimycin),CYT387,-1612.0
22,17-AAG (Tanespimycin),Dasatinib,-1872.0
23,17-AAG (Tanespimycin),DBZ,-713.0
24,17-AAG (Tanespimycin),Doramapimod (BIRB 796),-1675.0
25,17-AAG (Tanespimycin),Dovitinib (CHIR-258),-1131.0
26,17-AAG (Tanespimycin),Elesclomol,-1101.0
27,17-AAG (Tanespimycin),Entospletinib (GS-9973),-566.0
28,17-AAG (Tanespimycin),Entrectinib,-864.0
29,17-AAG (Tanespimycin),Erlotinib,-595.0
30,17-AAG (Tanespimycin),Flavopiridol,-1211.0
31,17-AAG (Tanespimycin),Foretinib (XL880),-1264.0
32,17-AAG (Tanespimycin),GDC-0879,-530.0
33,17-AAG (Tanespimycin),GDC-0941,-1765.0
34,17-AAG (Tanespimycin),Gefitinib,-675.0
35,17-AAG (Tanespimycin),Gilteritinib (ASP-2215),-959.0
36,17-AAG (Tanespimycin),Go6976,-1572.0
37,17-AAG (Tanespimycin),GSK-1838705A,-501.0
38,17-AAG (Tanespimycin),GSK-1904529A,-1190.0
39,17-AAG (Tanespimycin),GSK690693,-640.0
40,17-AAG (Tanespimycin),GW-2580,-1352.0
