,coefficient,gene
0,0.0,TSPAN6
1,0.0,DPM1
2,0.0,SCYL3
3,0.0,C1orf112
4,0.0,FGR
5,-0.0,CFH
6,-0.0,FUCA2
7,-0.0,GCLC
8,0.0,NFYA
9,-0.0,STPG1
10,-0.0,NIPAL3
11,-0.0,LAS1L
12,-0.0,ENPP4
13,-0.0,SEMA3F
14,0.0,ANKIB1
15,0.0,CYP51A1
16,-0.0,KRIT1
17,0.0,RAD52
18,-0.0,BAD
19,0.0,LAP3
20,-0.0,CD99
21,0.0,HS3ST1
22,0.0,AOC1
23,0.0,MAD1L1
24,0.0,LASP1
25,-0.0,SNX11
26,-0.0,TMEM176A
27,0.0,M6PR
28,0.0,KLHL13
29,0.0,ICA1
30,0.0,DBNDD1
31,0.0,ALS2
32,0.0,CASP10
33,0.0,CFLAR
34,0.0,TFPI
35,-0.0,NDUFAF7
36,-0.0,RBM5
37,-0.0,MTMR7
38,-0.0,SLC7A2
39,0.0,ARF5
40,0.0,SARM1
41,-0.0,POLDIP2
42,0.0,PLXND1
43,-0.0,AK2
44,0.0,CD38
45,0.0,FKBP4
46,-0.0,KDM1A
47,-0.0,RBM6
48,0.0,CAMKK1
49,-0.0,RECQL
50,-0.0,CCDC132
51,0.0,HSPB6
52,-0.0,ARHGAP33
53,-0.0,NDUFAB1
54,-0.0,PDK4
55,0.0,SLC22A16
56,0.0,ZMYND10
57,-0.0,SLC25A13
58,0.0,ST7
59,0.0,CDC27
60,-0.0,SLC4A1
61,0.0,HCCS
62,-0.0,DVL2
63,-0.0,UPF1
64,0.0,SKAP2
65,-0.0,SLC25A5
66,-0.0,CCDC109B
67,-0.0,HOXA11
68,-0.0,POLR2J
69,0.0,DHX33
70,0.0,MEOX1
71,-0.0,THSD7A
72,0.0,LIG3
73,0.0,RPAP3
74,-0.0,ACSM3
75,0.0,AC004381.6
76,-0.0,CIAPIN1
77,-0.0,SPPL2B
78,0.0,FAM214B
79,-0.0,COPZ2
80,-0.0,PRKAR2B
81,-0.0,MSL3
82,-0.0,CREBBP
83,-0.0,BZRAP1
84,-0.0,MPO
85,-0.0,GCFC2
86,-0.0,WDR54
87,0.0,CROT
88,-0.0,ABCB4
89,-0.0,KMT2E
90,0.0,RHBDD2
91,0.0,SOX8
92,-0.0,IBTK
93,-0.0,ZNF195
94,-0.0,MYCBP2
95,0.0,FBXL3
96,-0.0,ITGAL
97,-0.0,PDK2
98,-0.0,ITGA3
99,0.0,ZFX
100,0.0,LAMP2
101,-0.0,GGNBP2
102,0.0,ITGA2B
103,-0.0,GDE1
104,-0.0,C19orf60
105,-0.0,OSBPL7
106,0.9991983252640257,TMEM98
107,0.0,YBX2
108,-0.0,MAP3K14
109,-0.0,CCL18
110,-0.0,CCL3
111,-0.0,SYNRG
112,-0.0,TMEM132A
113,-0.0,AP2B1
114,0.0,ZNF263
115,-0.0,SPATA20
116,-0.0,TNFRSF12A
117,0.0,MAP3K9
118,-0.0,RALA
119,0.0,BAIAP2L1
120,-0.0,KDM7A
121,0.0,ETV1
122,-0.0,AGK
123,0.0,ALDH3B1
124,0.0,TTC22
125,0.0,PHTF2
126,-0.0,FARP2
127,-0.0,GGCT
128,0.0,DBF4
129,0.0,TBXA2R
130,-0.0,IFRD1
131,-0.0,COX10
132,-0.0,GTF2IRD1
133,0.0,PAF1
134,0.0,VPS41
135,0.0,ARHGAP44
136,-0.0,ELAC2
137,-0.0,SCIN
138,0.0,ARSD
139,0.0,PNPLA4
140,0.0,ADIPOR2
141,-0.0,CDKL3
142,-0.0,UPP2
143,0.8115083767372034,PRSS21
144,-0.0,MARK4
145,0.0,PROM1
146,-0.0,CCDC124
147,0.0,CEACAM21
148,0.0,PAFAH1B1
149,-0.0,NOS2
150,0.0,KIAA0100
151,0.0,GAS7
152,-0.0,TRAPPC6A
153,-0.0,MATK
154,-0.0,CD79B
155,-0.0,SCN4A
156,0.0,ST7L
157,-0.0,TKTL1
158,0.0,RPUSD1
159,0.0,RHBDF1
160,-0.0,LUC7L
161,0.0,CACNA2D2
162,-0.0,BAIAP3
163,0.0,TSR3
164,0.0,PIGQ
165,0.0,CRAMP1L
166,0.0,TEAD3
167,0.0,DNAJC11
168,0.0,MYLIP
169,-0.0,E2F2
170,-0.0,PSMB1
171,0.0,SYN1
172,-0.0,JARID2
173,-0.0,CDKL5
174,-0.0,CDK11A
175,0.0,NADK
176,0.0,DLEC1
177,0.0,CYTH3
178,-0.0,ADAM22
179,0.0,SYPL1
180,-0.0,CYB561
181,-0.0,SPAG9
182,0.0,CELSR3
183,-0.0,AASS
184,0.0,PLEKHG6
185,-0.0,SS18L2
186,0.0,MPND
187,0.0,MGST1
188,-0.0,CRY1
189,0.0,PGLYRP1
190,0.0,NFIX
191,0.0,ST3GAL1
192,-0.0,MMP25
193,0.0,IL32
194,-0.0,PKD1
195,0.0,MAPK8IP2
196,-0.0,MED24
197,0.0,RHOBTB2
198,-0.0,HEATR5B
199,0.0,SEC62
200,-0.0,RPS20
201,-0.0,CSDE1
202,0.0,UBE3C
203,0.0,REV3L
204,-0.0,TENM1
205,-0.0,MASP2
206,0.0,FAM76A
207,-0.0,TRAF3IP3
208,0.0,POMT2
209,0.0,VTA1
210,0.0,MLXIPL
211,0.0,BAZ1B
212,0.0,RANBP9
213,0.0,ETV7
214,-0.0,SPRTN
215,-0.0,METTL13
216,0.0,DYRK4
217,-0.0,ZNF207
218,-0.0,UQCRC1
219,-0.0,STARD3NL
220,0.0,CD9
221,-0.0,NCAPD2
222,0.0,IFFO1
223,0.0,GIPR
224,-0.0,PHF7
225,-0.0,SEMA3G
226,0.0,NISCH
227,-0.0,STAB1
228,-0.0,FUZ
229,0.0,SLC6A13
230,-0.0,IDS
231,0.0,ZNF200
232,0.0,CD4
233,0.0,LRRC23
234,0.0,BTK
235,-0.0,HFE
236,0.0,SCMH1
237,0.0,FYN
238,-0.0,HIVEP2
239,0.0,TCEB3
240,0.0,LYPLA2
241,-0.0,CLCN6
242,-0.0,MRC2
243,-0.0,TSPAN9
244,0.0,BTBD7
245,-0.0,APBA3
246,-0.0,MKS1
247,0.0,ABHD5
248,0.0,KAL1
249,-0.0,AKAP8L
250,-0.0,MBTD1
251,-0.0,UTP18
252,0.0,RNF216
253,-0.0,TTC19
254,0.0,PTBP1
255,-0.0,DPF1
256,0.0,LARS2
257,0.0,PIK3C2A
258,0.0,PLAUR
259,0.0,ANLN
260,0.0,WIZ
261,0.0,RABGAP1
262,-0.0,DCN
263,-0.0,QPCTL
264,0.0,PPP5C
265,-0.0,CEP68
266,-0.0,MAP4K3
267,-0.0,ZBTB32
268,0.0,TYROBP
269,-0.0,TMEM159
270,-0.0,BRCA1
271,-0.0,ERCC1
272,0.0,CD22
273,-0.0,SEMA3B
274,0.0,MBTPS2
275,0.0,PRICKLE3
276,0.0,LTF
277,0.0,EXTL3
278,0.0,ELOVL5
279,0.0,ALOX5
280,-0.0,KDM5D
281,0.0,CALCOCO1
282,0.0,UBR7
283,-0.0,MAP4K5
284,-0.0,EHD3
285,-0.0,PSMC4
286,-0.0,MAN2B2
287,-0.0,SLC25A39
288,0.0,MVP
289,0.0,NUB1
290,-0.0,PGM3
291,0.0,RWDD2A
292,-0.0,CLK1
293,0.0,POLR3B
294,-0.0,ANGEL1
295,0.0,RNF14
296,0.0,DNASE1L1
297,0.0,DDX11
298,0.0,HEBP1
299,-0.0,GPRC5A
300,-0.0,MAMLD1
301,0.0,CD6
302,0.0,TACC3
303,0.0,UFL1
304,-0.0,POLA2
305,0.0,ZC3H3
306,0.0,CAPN1
307,0.0,ACPP
308,-0.0,MDH1
309,0.0,SLC30A9
310,-0.0,MTMR11
311,-0.0,COX15
312,-0.0,CCDC88C
313,-0.0,YAF2
314,-0.0,ZMYND11
315,-0.0,WAS
316,0.0,DPEP1
317,-0.0,BID
318,-0.0,MATR3
319,0.0,NPC1L1
320,-0.0,XYLT2
321,0.0,RGPD5
322,0.0,NUDCD3
323,0.0,CHDH
324,0.0,GLT8D1
325,0.0,ATP2C1
326,0.0,SRCIN1
327,-0.0,IGF1
328,-0.0,SLC38A5
329,0.0,MAGIX
330,0.0,RALBP1
331,-0.0,RUFY3
332,0.0,CNTN1
333,-0.0,SLC11A1
334,-0.0,WWTR1
335,0.0,AGPS
336,-0.0,CXorf56
337,-0.0,TTC27
338,0.0,ZNF582
339,-0.0,VSIG2
340,0.0,PHLDB1
341,-0.0,MARCO
342,-0.0,PRDM11
343,-0.0,SNAI2
344,-0.0,CD74
345,0.0,HGF
346,0.0,ZRANB1
347,0.0,NCDN
348,0.0,GPR124
349,-0.0,ZFP64
350,0.0,MNAT1
351,-0.0,SAMD4A
352,0.0,RUNX3
353,0.0,MRE11A
354,-0.0,PLEKHB1
355,0.0,SERPINB1
356,0.0,SLC7A9
357,-0.0,SPAST
358,0.0,NRXN3
359,-0.0,OSBPL5
360,0.0,AQR
361,-0.0,CPS1
362,0.0,FHL1
363,-0.0,RTFDC1
364,0.0,NLRP2
365,0.0,SLC45A4
366,-0.0,RNF10
367,0.0,ZNF839
368,-0.0,ZDHHC6
369,-0.0,GRAMD1B
370,0.0,RNH1
371,0.0,NDUFS1
372,0.0,RB1CC1
373,0.0,ERP44
374,0.0,ALAS1
375,-0.0,BIRC3
376,0.0,AKAP11
377,0.0,GLRX2
378,0.0,SNAPC1
379,0.0,DERA
380,0.0,STRAP
381,0.0,ABCC2
382,-0.0,DEF6
383,0.0,PLEKHO1
384,0.0,GCLM
385,-0.0,UBR2
386,0.0,EHD2
387,0.0,DEPDC1
388,-0.0,CCDC28A
389,0.0,RRAGD
390,0.0,HSF2
391,-0.0,PHF20
392,-0.0,HSD17B6
393,-0.0,NR1H3
394,-0.0,TYMP
395,-0.0,NCAPH2
396,0.0,TOMM34
397,-0.0,SEC63
398,-0.0,KPNA6
399,0.0,VIM
400,-0.0,RTEL1-TNFRSF6B
401,0.0,FAS
402,0.0,RNASET2
403,-0.0,CD44
404,0.0,KCNG1
405,0.0,AGPAT4
406,0.0,SLAMF7
407,-0.0,BTN3A1
408,-0.0,MIPEP
409,-0.0,PRKCH
410,0.0,INSRR
411,0.0,IFNGR1
412,-0.0,B4GALT7
413,0.0,SH2D2A
414,-0.0,VRK2
415,-0.0,TNFRSF1B
416,-0.0,VEZT
417,-0.0,POU2F2
418,0.0,BRD9
419,0.0,SNX1
420,-0.0,TBPL1
421,0.0,ARNTL2
422,-0.0,BCLAF1
423,0.0,SLC39A9
424,-0.0,ANK1
425,-0.0,TFB1M
426,0.0,RABEP1
427,-0.0,HMGB3
428,-0.0,NUP160
429,0.0,BAK1
430,-0.0,IKZF2
431,0.0,GRN
432,0.0,FAM13B
433,-0.0,ARHGAP31
434,-0.0,CENPQ
435,-0.0,SARS
436,-0.0,RANBP3
437,-0.0,ARID4A
438,0.0,TSSC1
439,-0.0,PNPLA6
440,0.0,IFT88
441,0.0,ALG1
442,-0.0,ZCCHC8
443,-0.0,ABCF2
444,-0.0,CHPF2
445,-0.0,LRRC7
